account,indicator,region,sector,value,share_of_region_total,rank,unit,definition
CBA,economic_importance,SE,Wood waste for treatment: landfill,0.0,0.0,199,M.EUR,factor_inputs
CBA,economic_importance,SE,Wood waste for treatment: incineration,0.0,0.0,200,M.EUR,factor_inputs
PBA,economic_importance,SE,Other business services (74),43512.65576886488,0.0774884969264978,1,M.EUR,factor_inputs
PBA,economic_importance,SE,Other land transportation services,41714.192326816905,0.07428574530311215,2,M.EUR,factor_inputs
PBA,economic_importance,SE,Health and social work services (85),41549.74805136299,0.07399289855524233,3,M.EUR,factor_inputs
PBA,economic_importance,SE,Computer and related services (72),38792.17238681001,0.06908213432741976,4,M.EUR,factor_inputs
PBA,economic_importance,SE,Construction work (45),36702.379087574,0.06536057473094171,5,M.EUR,factor_inputs
PBA,economic_importance,SE,Education services (80),28119.78881843,0.050076469269196316,6,M.EUR,factor_inputs
PBA,economic_importance,SE,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",24119.161945459546,0.042952046324365285,7,M.EUR,factor_inputs
PBA,economic_importance,SE,Public administration and defence services; compulsory social security services (75),22277.396241697195,0.039672180879391984,8,M.EUR,factor_inputs
PBA,economic_importance,SE,Machinery and equipment n.e.c. (29),21778.644437126997,0.03878399037498299,9,M.EUR,factor_inputs
PBA,economic_importance,SE,"Financial intermediation services, except insurance and pension funding services (65)",16378.248690354003,0.029166821718384407,10,M.EUR,factor_inputs
PBA,economic_importance,SE,Hotel and restaurant services (55),16291.626611069,0.02901256281127247,11,M.EUR,factor_inputs
PBA,economic_importance,SE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",16156.053208591706,0.02877113008335579,12,M.EUR,factor_inputs
PBA,economic_importance,SE,Real estate services (70),14807.423824982054,0.026369454938498335,13,M.EUR,factor_inputs
PBA,economic_importance,SE,"Motor vehicles, trailers and semi-trailers (34)",14659.810934095001,0.02610658196879104,14,M.EUR,factor_inputs
PBA,economic_importance,SE,Air transport services (62),14431.744073678,0.025700434426192544,15,M.EUR,factor_inputs
PBA,economic_importance,SE,Renting services of machinery and equipment without operator and of personal and household goods (71),12836.122990255024,0.022858909880426995,16,M.EUR,factor_inputs
PBA,economic_importance,SE,"Fabricated metal products, except machinery and equipment (28)",12638.968242626,0.02250781145203303,17,M.EUR,factor_inputs
PBA,economic_importance,SE,Food products nec,10303.876183881997,0.018349417287856405,18,M.EUR,factor_inputs
PBA,economic_importance,SE,"Plastics, basic",7657.8360043850125,0.013637278424039806,19,M.EUR,factor_inputs
PBA,economic_importance,SE,Distribution and trade services of electricity,7517.000720603499,0.01338647519767698,20,M.EUR,factor_inputs
PBA,economic_importance,SE,Post and telecommunication services (64),7452.101521231,0.01327090097398856,21,M.EUR,factor_inputs
PBA,economic_importance,SE,"Insurance and pension funding services, except compulsory social security services (66)",7170.5234157731,0.012769459180243671,22,M.EUR,factor_inputs
PBA,economic_importance,SE,Membership organisation services n.e.c. (91),6925.9789812046,0.012333967934498738,23,M.EUR,factor_inputs
PBA,economic_importance,SE,"Products of forestry, logging and related services (02)",5904.3636405422,0.010514648111652482,24,M.EUR,factor_inputs
PBA,economic_importance,SE,Other services (93),5714.8542644935,0.010177164764704033,25,M.EUR,factor_inputs
PBA,economic_importance,SE,Basic iron and steel and of ferro-alloys and first products thereof,5233.0023657897,0.00931907006301374,26,M.EUR,factor_inputs
PBA,economic_importance,SE,Electricity by hydro,5027.9562356492,0.008953918450352316,27,M.EUR,factor_inputs
PBA,economic_importance,SE,Sea and coastal water transportation services,4957.207168129,0.008827926625578101,28,M.EUR,factor_inputs
PBA,economic_importance,SE,Paper and paper products,4703.723867219001,0.008376516808447663,29,M.EUR,factor_inputs
PBA,economic_importance,SE,Rubber and plastic products (25),3574.9653759429,0.006366393607818025,30,M.EUR,factor_inputs
PBA,economic_importance,SE,Railway transportation services,3387.996026139,0.006033433607293406,31,M.EUR,factor_inputs
PBA,economic_importance,SE,"Recreational, cultural and sporting services (92)",3381.0922980348005,0.006021139264313623,32,M.EUR,factor_inputs
PBA,economic_importance,SE,Supporting and auxiliary transport services; travel agency services (63),2849.4979834627,0.0050744619428999575,33,M.EUR,factor_inputs
PBA,economic_importance,SE,Other transport equipment (35),2704.9514810755,0.004817049679546886,34,M.EUR,factor_inputs
PBA,economic_importance,SE,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),2579.9249892377366,0.0045943991711531055,35,M.EUR,factor_inputs
PBA,economic_importance,SE,Intert/metal waste for treatment: incineration,2536.605907328003,0.004517255395713341,36,M.EUR,factor_inputs
PBA,economic_importance,SE,Electricity by nuclear,2425.4409944784998,0.004319289956567776,37,M.EUR,factor_inputs
PBA,economic_importance,SE,Textiles (17),2308.5071589051,0.004111051066104176,38,M.EUR,factor_inputs
PBA,economic_importance,SE,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",2215.608314032707,0.003945614327569809,39,M.EUR,factor_inputs
