target_region,target_sector,source_country,source_value,source_share,account,indicator,target_sector_value,unit
SE,Supporting and auxiliary transport services; travel agency services (63),BG,800630833669.6943,0.02040816326530612,CBA,ghg,4146252912.6305876,kg CO2-Equivalents
SE,Supporting and auxiliary transport services; travel agency services (63),BR,800630833669.6943,0.02040816326530612,CBA,ghg,4146252912.6305876,kg CO2-Equivalents
SE,Supporting and auxiliary transport services; travel agency services (63),CA,800630833669.6943,0.02040816326530612,CBA,ghg,4146252912.6305876,kg CO2-Equivalents
SE,Supporting and auxiliary transport services; travel agency services (63),CH,800630833669.6943,0.02040816326530612,CBA,ghg,4146252912.6305876,kg CO2-Equivalents
SE,Supporting and auxiliary transport services; travel agency services (63),CN,800630833669.6943,0.02040816326530612,CBA,ghg,4146252912.6305876,kg CO2-Equivalents
SE,Supporting and auxiliary transport services; travel agency services (63),CY,800630833669.6943,0.02040816326530612,CBA,ghg,4146252912.6305876,kg CO2-Equivalents
SE,Supporting and auxiliary transport services; travel agency services (63),CZ,800630833669.6943,0.02040816326530612,CBA,ghg,4146252912.6305876,kg CO2-Equivalents
SE,Health and social work services (85),SE,53334.147824786385,1.0,PBA,economic_importance,53334.147824786385,M.EUR
SE,Other business services (74),SE,47257.83262301194,1.0,PBA,economic_importance,47257.83262301194,M.EUR
SE,Construction work (45),SE,34933.695864741574,1.0,PBA,economic_importance,34933.695864741574,M.EUR
SE,Education services (80),SE,26784.143644481985,1.0,PBA,economic_importance,26784.143644481985,M.EUR
SE,Computer and related services (72),SE,26654.25556479436,1.0,PBA,economic_importance,26654.25556479436,M.EUR
SE,Basic iron and steel and of ferro-alloys and first products thereof,SE,6791297846.320047,1.0,PBA,materials,6791297846.320047,
SE,Sea and coastal water transportation services,SE,3420363953.5450087,1.0,PBA,materials,3420363953.5450087,
SE,Cattle,SE,1028188951.7674385,1.0,PBA,materials,1028188951.7674385,
SE,Raw milk,SE,842125125.5121837,1.0,PBA,materials,842125125.5121837,
SE,Other business services (74),SE,705363727.8334492,1.0,PBA,materials,705363727.8334492,
SE,Steam and hot water supply services,SE,5535877320.738843,1.0,PBA,ghg,5535877320.738843,kg CO2-Equivalents
SE,Food waste for treatment: landfill,SE,3781346327.330443,1.0,PBA,ghg,3781346327.330443,kg CO2-Equivalents
SE,Paper for treatment: landfill,SE,2890669470.9351516,1.0,PBA,ghg,2890669470.9351516,kg CO2-Equivalents
SE,Sea and coastal water transportation services,SE,2850031752.5225816,1.0,PBA,ghg,2850031752.5225816,kg CO2-Equivalents
SE,Basic iron and steel and of ferro-alloys and first products thereof,SE,2400098735.5319223,1.0,PBA,ghg,2400098735.5319223,kg CO2-Equivalents
